Method,Schema,Dataset,Metric,F1,Precision,Recall
NewTimesNet,mts,machine-3,best f1 under pa,0.8606656828470942,0.8129918264302507,0.9498730583639126
NewTimesNet,mts,machine-3,event-based f1 under pa with mode log,0.4522324392947756,0.5024575238421302,0.5575136901815667
NewTimesNet,mts,machine-3,event-based f1 under pa with mode squeeze,0.3157681886227262,0.40301461823200935,0.33436639118457295
OmniAnomaly,mts,machine-1,best f1 under pa,0.5769093647519462,0.7846430180009984,0.5768492355928001
OmniAnomaly,mts,machine-1,event-based f1 under pa with mode log,0.3237509755655993,0.8691770186335401,0.24615107409031217
OmniAnomaly,mts,machine-1,event-based f1 under pa with mode squeeze,0.2831718719876612,0.8400768535262201,0.20768086080586076
OmniAnomaly,mts,machine-2,best f1 under pa,0.6674153756374586,0.6960273855359405,0.7888142644781774
OmniAnomaly,mts,machine-2,event-based f1 under pa with mode log,0.3898184115748707,0.5338874969791966,0.3897975936864826
OmniAnomaly,mts,machine-2,event-based f1 under pa with mode squeeze,0.315799326546157,0.4666834885414118,0.32015854515854497
OmniAnomaly,mts,machine-3,best f1 under pa,0.5963116415343864,0.7145956992502578,0.6178851773761198
OmniAnomaly,mts,machine-3,event-based f1 under pa with mode log,0.30868587366513256,0.5931348364443558,0.32235526119373664
OmniAnomaly,mts,machine-3,event-based f1 under pa with mode squeeze,0.250399901361758,0.5950634435159301,0.25245285018012287
ReconstructionMTS,mts,machine-1,best f1 under pa,0.8237547461208742,0.8838300708764438,0.8110367361108286
ReconstructionMTS,mts,machine-1,event-based f1 under pa with mode log,0.568588070080686,0.8545596016184251,0.49091153951953054
ReconstructionMTS,mts,machine-1,event-based f1 under pa with mode squeeze,0.4770368520368516,0.8348214285714284,0.3910599816849817
ReconstructionMTS,mts,machine-2,best f1 under pa,0.903379680397124,0.9365614680949038,0.882586442125517
ReconstructionMTS,mts,machine-2,event-based f1 under pa with mode log,0.539765616997788,0.8612646530332848,0.4602193096637541
ReconstructionMTS,mts,machine-2,event-based f1 under pa with mode squeeze,0.4752052384902621,0.9444444444444441,0.38126965626965614
ReconstructionMTS,mts,machine-3,best f1 under pa,0.7956271100202176,0.8641822819815094,0.7902473242656417
ReconstructionMTS,mts,machine-3,event-based f1 under pa with mode log,0.5322581958824997,0.7473988943827211,0.4503159675573469
ReconstructionMTS,mts,machine-3,event-based f1 under pa with mode squeeze,0.43467068254008817,0.7414600550964184,0.3420216147488874
SmartSimpleAD,mts,machine-1,best f1 under pa,0.8862302167975804,0.9069851326357826,0.8938416183663251
SmartSimpleAD,mts,machine-1,event-based f1 under pa with mode log,0.625643793418625,0.6928121871065104,0.6910153104352567
SmartSimpleAD,mts,machine-1,event-based f1 under pa with mode squeeze,0.4794143390342197,0.5535496089931573,0.5477907509157509
SmartSimpleAD,mts,machine-2,best f1 under pa,0.9673449247459163,0.9538724565550832,0.9818527308348407
